Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
Record,Time,Function,Reading,Range,Unit
248,3/10/2021 12:29:45.012,Temperature {NONE},89.9, °C,°C
249,3/10/2021 12:29:46.013,Temperature {NONE},89.9, °C,°C
250,3/10/2021 12:29:47.014,Temperature {NONE},89.9, °C,°C
251,3/10/2021 12:29:48.016,Temperature {NONE},89.8, °C,°C
252,3/10/2021 12:29:49.017,Temperature {NONE},89.8, °C,°C
253,3/10/2021 12:29:50.018,Temperature {NONE},89.8, °C,°C
254,3/10/2021 12:29:51.020,Temperature {NONE},89.9, °C,°C
255,3/10/2021 12:29:52.021,Temperature {NONE},89.8, °C,°C
256,3/10/2021 12:29:53.023,Temperature {NONE},89.8, °C,°C
257,3/10/2021 12:29:54.023,Temperature {NONE},89.8, °C,°C
258,3/10/2021 12:29:55.025,Temperature {NONE},89.8, °C,°C
259,3/10/2021 12:29:56.026,Temperature {NONE},89.8, °C,°C
260,3/10/2021 12:29:57.026,Temperature {NONE},89.8, °C,°C
261,3/10/2021 12:29:58.028,Temperature {NONE},89.8, °C,°C
262,3/10/2021 12:29:59.029,Temperature {NONE},89.8, °C,°C
263,3/10/2021 12:30:00.030,Temperature {NONE},89.8, °C,°C
264,3/10/2021 12:30:01.031,Temperature {NONE},89.8, °C,°C
265,3/10/2021 12:30:02.032,Temperature {NONE},89.7, °C,°C
266,3/10/2021 12:30:03.034,Temperature {NONE},89.7, °C,°C
267,3/10/2021 12:30:04.036,Temperature {NONE},89.7, °C,°C
268,3/10/2021 12:30:05.037,Temperature {NONE},89.7, °C,°C
269,3/10/2021 12:30:06.038,Temperature {NONE},89.7, °C,°C
270,3/10/2021 12:30:07.039,Temperature {NONE},89.6, °C,°C
271,3/10/2021 12:30:08.039,Temperature {NONE},89.7, °C,°C
272,3/10/2021 12:30:09.040,Temperature {NONE},89.7, °C,°C
273,3/10/2021 12:30:10.042,Temperature {NONE},89.7, °C,°C
274,3/10/2021 12:30:11.043,Temperature {NONE},89.6, °C,°C
275,3/10/2021 12:30:12.045,Temperature {NONE},89.5, °C,°C
276,3/10/2021 12:30:13.045,Temperature {NONE},89.5, °C,°C
277,3/10/2021 12:30:14.046,Temperature {NONE},89.4, °C,°C
278,3/10/2021 12:30:15.047,Temperature {NONE},89.4, °C,°C
279,3/10/2021 12:30:16.047,Temperature {NONE},89.4, °C,°C
280,3/10/2021 12:30:17.049,Temperature {NONE},89.5, °C,°C
281,3/10/2021 12:30:18.050,Temperature {NONE},89.4, °C,°C
282,3/10/2021 12:30:19.050,Temperature {NONE},89.4, °C,°C
283,3/10/2021 12:30:20.051,Temperature {NONE},89.4, °C,°C
284,3/10/2021 12:30:21.053,Temperature {NONE},89.4, °C,°C
285,3/10/2021 12:30:22.054,Temperature {NONE},89.4, °C,°C
286,3/10/2021 12:30:23.054,Temperature {NONE},89.3, °C,°C
287,3/10/2021 12:30:24.055,Temperature {NONE},89.2, °C,°C
288,3/10/2021 12:30:25.056,Temperature {NONE},89.1, °C,°C
289,3/10/2021 12:30:26.057,Temperature {NONE},89.0, °C,°C
290,3/10/2021 12:30:27.058,Temperature {NONE},89.0, °C,°C
291,3/10/2021 12:30:28.059,Temperature {NONE},88.9, °C,°C
292,3/10/2021 12:30:29.060,Temperature {NONE},88.9, °C,°C
293,3/10/2021 12:30:30.062,Temperature {NONE},88.9, °C,°C
294,3/10/2021 12:30:31.063,Temperature {NONE},88.9, °C,°C
295,3/10/2021 12:30:32.065,Temperature {NONE},88.9, °C,°C
296,3/10/2021 12:30:33.066,Temperature {NONE},88.9, °C,°C
297,3/10/2021 12:30:34.067,Temperature {NONE},88.9, °C,°C
298,3/10/2021 12:30:35.068,Temperature {NONE},89.0, °C,°C
299,3/10/2021 12:30:36.070,Temperature {NONE},89.0, °C,°C
300,3/10/2021 12:30:37.072,Temperature {NONE},89.0, °C,°C
301,3/10/2021 12:30:38.073,Temperature {NONE},89.0, °C,°C
302,3/10/2021 12:30:39.075,Temperature {NONE},89.0, °C,°C
303,3/10/2021 12:30:40.076,Temperature {NONE},89.0, °C,°C
304,3/10/2021 12:30:41.076,Temperature {NONE},89.0, °C,°C
305,3/10/2021 12:30:42.078,Temperature {NONE},88.9, °C,°C
306,3/10/2021 12:30:43.079,Temperature {NONE},88.9, °C,°C
307,3/10/2021 12:30:44.080,Temperature {NONE},89.0, °C,°C
